Image Name,Herbage Mass (kg DM/ha),Grass Dried,Clover Dried,Weeds Dried,Grass Fresh,Clover Fresh,Weeds Fresh,Sward Height (cm)
Card1IMG_0674.jpg,798.4,98.2,0.15,1.65,93.61,0.16,6.23,5.5
Card1IMG_0675.jpg,1265.6,87.23,9.29,3.48,82.27,11.48,6.26,4
Card1IMG_0676.jpg,850.4,78.55,8.75,12.7,73.98,11.15,14.87,7.5
Card1IMG_0677.jpg,900.8,89.25,1.11,9.64,83.19,4.11,12.7,9
Card1IMG_0690.jpg,703.2,94.42,5.57,0.01,91.36,8.57,0.07,5.5
Card1IMG_0691.jpg,561.2,97.65,0.93,1.43,93.65,6.16,0.19,6
Card1IMG_0692.jpg,1226.4,88.71,4.11,7.18,82.55,6.84,10.61,7
Card1IMG_0693.jpg,844.8,80.49,0.57,18.94,77.64,0.28,22.08,7
Card1IMG_0694.jpg,1427.2,92.49,4.79,2.72,87.75,6.77,5.48,7.5
Card1IMG_0708.jpg,644.4,99.94,0,0.06,99.72,0,0.28,12.5
Card1IMG_0709.jpg,918.8,98.82,0,1.18,94.71,0.13,5.15,5.5
Card1IMG_0710.jpg,1028.8,97.98,0.47,1.56,99.22,0.36,0.42,4.5
Card1IMG_0711.jpg,1093.2,98.43,0,1.57,95.06,0,4.94,8.5
Card1IMG_0712.jpg,1157.2,99.9,0,0.1,99.83,0,0.17,20
Card1IMG_0726.jpg,1541.6,88.22,11.68,0.1,87.41,12.48,0.11,9
Card1IMG_0727.jpg,726.4,69.38,28.63,1.98,68.51,25.72,5.76,7.5
Card1IMG_0728.jpg,645.2,76.26,18.16,5.58,73.46,17.92,8.62,8
Card1IMG_0729.jpg,620.4,90.91,4.96,4.13,82.77,8.75,8.48,5
Card1IMG_0730.jpg,892,99.55,0,0.45,95.97,0,4.03,9
Card1IMG_0744.jpg,1400,92.86,0,7.14,90,0,10,6
Card1IMG_0745.jpg,968,100,0,0,100,0,0,3
Card1IMG_0746.jpg,898.8,96.13,0,3.87,93.75,0,6.25,6
Card1IMG_0747.jpg,876.8,97.63,0.91,1.46,89.97,4.71,5.31,6.5
Card1IMG_0748.jpg,1163.6,97.97,0,2.03,95.16,0,4.84,4.5
Card1IMG_0762.jpg,878,92.48,4.28,3.23,86.08,7.6,6.31,10
Card1IMG_0763.jpg,418.8,51.58,44.6,3.82,56,35.8,8.2,11.5
Card1IMG_0764.jpg,920,60,26.52,13.48,57.51,26.2,16.29,9.5
Card1IMG_0765.jpg,915.6,70.77,27.83,1.4,67.16,27.61,5.22,7
Card1IMG_0766.jpg,638.4,50.75,37.41,11.84,51.54,33.3,15.15,9.5
Card1IMG_0780.jpg,1334.4,96.22,1.8,1.98,91.29,4.14,4.57,5
Card1IMG_0781.jpg,1468,93.73,3.27,3,88.75,5.77,5.48,4.5
Card1IMG_0782.jpg,1163.2,85.28,14.17,0.55,82.36,14.15,3.49,5.5
Card1IMG_0783.jpg,903.6,92.96,5.22,1.81,83.28,9.92,6.8,6.5
Card1IMG_0784.jpg,1156.8,82.3,9.65,8.06,78.14,10.78,11.08,7
Card1IMG_0798.jpg,942.8,94.61,1.1,4.29,88.71,4.2,7.09,5
Card1IMG_0799.jpg,754.8,96.98,1.48,1.54,88.14,5.93,5.93,4.5
Card1IMG_0800.jpg,385.6,78.84,16.8,4.36,72.8,17.12,10.08,5.5
Card1IMG_0801.jpg,969.6,94.88,0,5.12,90.83,0,9.17,6.5
Card1IMG_0802.jpg,888.4,88.25,8.1,3.65,82.77,10.09,7.14,7
Card1IMG_0817.jpg,728,85.71,9.89,4.4,75.02,14.78,10.2,5.5
Card1IMG_0818.jpg,805.2,67.06,26.18,6.76,66.51,24.06,9.43,6.5
Card1IMG_0819.jpg,696,80.46,16.67,2.87,75.36,16.88,7.75,5
Card1IMG_0820.jpg,743.2,95.8,2.96,1.24,87.39,6.92,5.69,6
Card1IMG_0821.jpg,446.8,94,5.91,0.09,89.63,10.25,0.12,4
Card1IMG_0835.jpg,612,76.47,16.93,6.6,72.51,18.13,9.36,4.5
Card1IMG_0836.jpg,551.6,84.84,7.11,8.05,78.3,10.25,11.45,4.5
Card1IMG_0837.jpg,869.2,92.96,0.09,6.95,89.28,0.13,10.59,6.5
Card1IMG_0838.jpg,518,94.98,0,5.02,89.99,0,10.01,4.5
Card1IMG_0839.jpg,1037.2,98.73,0.31,0.96,#VALUE!,#VALUE!,#VALUE!,7.5
Card1IMG_0853.jpg,524,90.08,6.87,3.05,91.25,3.91,4.84,6.5
Card1IMG_0854.jpg,1284,92.21,4.36,3.43,90.66,4.22,5.12,12
Card1IMG_0855.jpg,764,90.05,2.62,7.33,88.15,3.48,8.37,9
Card1IMG_0856.jpg,1068,77.15,19.85,3,72.59,24.08,3.33,8
Card1IMG_0857.jpg,1220,90.16,6.89,2.95,89.07,7.25,3.68,10.5
Card1IMG_0871.jpg,748,81.28,16.58,2.14,79.69,17.42,2.89,5.5
Card1IMG_0872.jpg,764,85.86,12.04,2.09,84.24,13.2,2.56,5.5
Card1IMG_0873.jpg,1076,82.53,16.36,1.12,77.95,20.28,1.77,7
Card1IMG_0874.jpg,860,80.93,3.72,15.35,77,3.12,19.89,6
Card1IMG_0875.jpg,616,65.58,24.03,10.39,58.17,29.62,12.21,4.5
Card1IMG_0889.jpg,830,99.28,0.72,0,99.4,0.6,0,7.5
Card1IMG_0890.jpg,560,95.71,3.57,0.71,94.68,3.65,1.67,4
Card1IMG_0891.jpg,1080,98.15,1.11,0.74,96.77,1.54,1.69,9.5
Card1IMG_0892.jpg,556,75.54,5.04,19.42,68.64,7.08,24.28,4.5
Card1IMG_0893.jpg,424,90.57,0,9.43,88.49,0,11.51,4.5
Card1IMG_0907.jpg,578.8,92.61,6.91,0.48,91.47,7.19,1.35,4.5
Card1IMG_0908.jpg,684,98.83,0.53,0.64,98.56,0.6,0.84,6
Card1IMG_0909.jpg,1065.6,97.97,0,2.03,98.04,0,1.96,9.5
Card1IMG_0910.jpg,484,95.87,0,4.13,95.78,0,4.22,5
Card1IMG_0911.jpg,1180,94.58,1.36,4.07,94.99,1.34,3.67,8.5
Card1IMG_0925.jpg,568,100,0,0,98.5,1.5,0,6
Card1IMG_0926.jpg,564.8,99.15,0.64,0.21,99.44,0.14,0.42,5
Card1IMG_0927.jpg,1116,98.92,0,1.08,97.89,0,2.11,9
Card1IMG_0928.jpg,932,97.85,0.86,1.29,98.3,0.54,1.16,6.5
Card1IMG_0929.jpg,578,98.27,1.31,0.42,98.5,1.09,0.41,5
Card1IMG_0943.jpg,808,90.1,8.42,1.49,89.09,9.17,1.74,4
Card1IMG_0944.jpg,540,88.89,5.93,5.19,87.41,6.01,6.57,6.5
Card1IMG_0945.jpg,764,60.73,31.41,7.85,61.4,29.86,8.75,5
Card1IMG_0946.jpg,1664,95.19,4.57,0.24,94.27,5.46,0.27,11
Card1IMG_0947.jpg,836,78.47,17.22,4.31,75.93,18.98,5.09,6.5
Card1IMG_0961.jpg,516.4,95.27,4.65,0.08,95.26,4.08,0.66,5.5
Card1IMG_0962.jpg,890.4,98.83,0,1.17,98.81,0,1.19,7.5
Card1IMG_0963.jpg,644,98.14,0,1.86,98.59,0,1.41,6.5
Card1IMG_0964.jpg,748,96.26,0,3.74,95.55,0,4.45,6
Card1IMG_0965.jpg,912,100,0,0,99.92,0,0.08,7
Card1IMG_0979.jpg,732,95.63,2.73,1.64,95.12,3.13,1.76,7.5
Card1IMG_0980.jpg,1716,96.97,0,3.03,94.39,0,5.61,15.5
Card1IMG_0981.jpg,872,98.17,0,1.83,97.47,0,2.53,6.5
Card1IMG_0982.jpg,774.8,99.64,0.31,0.05,99.78,0.2,0.02,6
Card1IMG_0983.jpg,792,98.48,0.51,1.01,99.13,0.1,0.77,8
Card1IMG_0997.jpg,840,64.29,33.81,1.9,59.98,37.24,2.78,7
Card1IMG_0998.jpg,880.4,98.14,0.95,0.91,97.49,1.2,1.31,6
Card1IMG_0999.jpg,868,69.59,28.57,1.84,67.94,30.2,1.87,5
Card1IMG_1000.jpg,572,86.71,6.29,6.99,85.5,6.14,8.37,5.5
Card1IMG_1001.jpg,788,69.04,17.26,13.71,63.33,19.26,17.41,6.5
Card1IMG_1015.jpg,904,95.13,4.42,0.44,93.63,5.47,0.9,7
Card1IMG_1016.jpg,692,78.03,18.5,3.47,75.88,19.32,4.8,4
Card1IMG_1018.jpg,479.6,97.58,0,2.42,97.18,0,2.82,4
Card1IMG_1019.jpg,516,89.92,9.3,0.78,87.56,10.24,2.2,5
Card1IMG_1033.jpg,1016,78.35,17.32,4.33,75.11,19.99,4.9,7
Card1IMG_1034.jpg,760,57.37,40,2.63,53.6,44.58,1.82,6.5
Card1IMG_1035.jpg,652,61.96,28.22,9.82,61.01,25.61,13.38,3
Card1IMG_1036.jpg,1516,71.5,21.64,6.86,67.93,23.16,8.91,10
Card1IMG_1037.jpg,764,42.93,51.83,5.24,39.22,55.12,5.65,4.5
Card1IMG_1051.jpg,676,98.22,1.78,0,97.36,2.64,0,7.5
Card1IMG_1052.jpg,504,88.89,7.94,3.17,92.5,5.95,1.55,4
Card1IMG_1053.jpg,620,93.55,1.94,4.52,95.62,2.03,2.35,4.5
Card1IMG_1054.jpg,944,76.69,13.98,9.32,72.59,15.23,12.18,8
Card1IMG_1055.jpg,1760,92.27,6.59,1.14,90.69,6.56,2.75,12.5
